title,price,item_id,genres_Action,genres_Adventure,genres_Free to Play,t_recom,t_sent_neg,t_sent_pos
god factory: wingmen,19.99,262750,0,0,0,1,0,1
one day for ched,3.99,321030,0,0,0,1,1,0
fable anniversary,34.99,288470,0,0,0,10,1,9
lords of the black sun,29.99,246940,0,0,0,0,0,1
planetarian ~the reverie of a little planet~,9.99,316720,0,0,0,5,2,3
the collider,2.99,319550,0,0,0,6,1,6
color symphony,0.0,317410,1,0,0,2,0,3
color symphony,0.0,317410,0,0,1,2,0,3
color symphony,0.0,317410,0,0,0,2,0,3
reprisal universe,6.99,319560,0,0,0,1,0,1
naruto shippuden: ultimate ninja storm revolution,29.99,272510,1,0,0,10,1,9
naruto shippuden: ultimate ninja storm revolution,29.99,272510,0,1,0,10,1,9
demonlisher,4.99,321610,0,0,0,0,1,0
my lands: black gem hunting,0.0,290730,0,0,0,2,0,2
my lands: black gem hunting,0.0,290730,0,0,1,2,0,2
endless legend™,29.99,289130,0,0,0,16,3,14
wakfu,0.0,215080,0,1,0,6,0,7
wakfu,0.0,215080,0,0,1,6,0,7
wakfu,0.0,215080,0,0,0,6,0,7
heavy bullets,9.99,297120,1,0,0,3,2,1
heavy bullets,9.99,297120,0,0,0,3,2,1
wasteland 2: director's cut,39.99,240760,0,1,0,5,1,5
wasteland 2: director's cut,39.99,240760,0,0,0,5,1,5
magicmaker,9.99,319250,1,0,0,1,0,1
magicmaker,9.99,319250,0,1,0,1,0,1
magicmaker,9.99,319250,0,0,0,1,0,1
stronghold crusader 2,49.99,232890,0,0,0,3,1,3
ancient space,19.99,249190,0,0,0,0,1,0
dg2: defense grid 2,14.99,221540,0,0,0,6,0,6
sherlock holmes: crimes and punishments,29.99,241260,0,1,0,1,1,1
dark souls™ ii crown of the ivory king,9.99,271944,1,0,0,1,0,1
dark souls™ ii crown of the ivory king,9.99,271944,0,0,0,1,0,1
middle-earth: shadow of mordor - goty edition upgrade,9.99,318550,1,0,0,1,0,1
middle-earth: shadow of mordor - goty edition upgrade,9.99,318550,0,1,0,1,0,1
middle-earth™: shadow of mordor™,19.99,241930,1,0,0,85,14,78
middle-earth™: shadow of mordor™,19.99,241930,0,1,0,85,14,78
wrack,9.99,253610,1,0,0,1,0,1
wrack,9.99,253610,0,0,0,1,0,1
super win the game,7.99,310700,1,0,0,1,0,1
super win the game,7.99,310700,0,0,0,1,0,1
disney winnie the pooh,5.99,319400,0,1,0,1,0,1
styx: master of shadows,29.99,242640,1,0,0,1,0,2
counter-strike nexon: zombies,0.0,273110,1,0,0,22,16,31
counter-strike nexon: zombies,0.0,273110,0,0,0,22,16,31
counter-strike nexon: zombies,0.0,273110,0,0,1,22,16,31
tron 2.0,9.99,327740,1,0,0,1,0,1
gods vs humans,4.99,322980,1,0,0,1,0,1
gods vs humans,4.99,322980,0,0,0,1,0,1
the evil within,19.99,268050,1,0,0,7,5,2
deep dungeons of doom,4.99,325090,0,1,0,0,1,0
deep dungeons of doom,4.99,325090,0,0,0,0,1,0
ultimate general: gettysburg,14.99,306660,0,0,0,2,0,2
f1 2014,29.99,226580,0,0,0,3,2,2
sword of the samurai,6.99,327950,0,1,0,1,0,1
sword of the samurai,6.99,327950,0,0,0,1,0,1
screencheat,14.99,301970,1,0,0,7,1,6
screencheat,14.99,301970,0,0,0,7,1,6
enforcer: police crime action,19.99,318220,1,0,0,4,0,7
enforcer: police crime action,19.99,318220,0,1,0,4,0,7
enforcer: police crime action,19.99,318220,0,0,0,4,0,7
spacebase df-9,9.99,246090,0,0,0,3,1,4
the moon sliver,1.99,329830,0,1,0,1,1,1
farming simulator 15,19.99,313160,0,0,0,13,2,12
miscreated,19.99,299740,1,0,0,2,1,3
miscreated,19.99,299740,0,1,0,2,1,3
miscreated,19.99,299740,0,0,0,2,1,3
cosmic dj,2.99,297110,0,0,0,2,0,3
the binding of isaac: rebirth,14.99,250900,1,0,0,130,29,101
the world ii: hunting boss,1.99,323240,1,0,0,1,0,1
the world ii: hunting boss,1.99,323240,0,0,0,1,0,1
a bird story,3.99,327410,0,1,0,11,2,9
a bird story,3.99,327410,0,0,0,11,2,9
space hulk ascension,29.99,317620,0,0,0,2,0,2
chariot,14.99,319450,0,1,0,1,0,1
chariot,14.99,319450,0,0,0,1,0,1
sneaky sneaky,4.99,259410,0,1,0,1,0,1
sneaky sneaky,4.99,259410,0,0,0,1,0,1
far cry® 4,29.99,298110,1,0,0,29,10,22
far cry® 4,29.99,298110,0,1,0,29,10,22
the blue flamingo,4.99,302010,1,0,0,1,0,1
the blue flamingo,4.99,302010,0,0,0,1,0,1
never alone (kisima ingitchuna),14.99,295790,1,0,0,0,1,1
never alone (kisima ingitchuna),14.99,295790,0,1,0,0,1,1
never alone (kisima ingitchuna),14.99,295790,0,0,0,0,1,1
escape dead island,14.99,226560,0,1,0,1,0,1
gems of war - puzzle rpg,0.0,329110,1,0,0,2,0,2
gems of war - puzzle rpg,0.0,329110,0,1,0,2,0,2
gems of war - puzzle rpg,0.0,329110,0,0,0,2,0,2
gems of war - puzzle rpg,0.0,329110,0,0,1,2,0,2
warmachine: tactics,0.0,253510,0,0,0,1,0,1
death skid marks,9.99,326150,1,0,0,1,0,1
death skid marks,9.99,326150,0,0,0,1,0,1
passing pineview forest,0.0,331120,1,0,0,1,2,0
passing pineview forest,0.0,331120,0,1,0,1,2,0
passing pineview forest,0.0,331120,0,0,0,1,2,0
amazing frog?,15.99,332570,0,1,0,2,0,2
amazing frog?,15.99,332570,0,0,0,2,0,2
kinetic void,19.99,227160,1,0,0,2,0,3
kinetic void,19.99,227160,0,0,0,2,0,3
craft the world,18.99,248390,0,0,0,4,1,3
axis game factory's agfpro battlemat multi-player dlc,14.99,270942,0,0,0,1,0,1
if my heart had wings,14.99,326480,0,1,0,5,0,5
if my heart had wings,14.99,326480,0,0,0,5,0,5
shroud of the avatar: forsaken virtues,39.99,326160,0,0,0,1,0,1
the witcher adventure game,9.99,303800,0,1,0,1,0,1
the witcher adventure game,9.99,303800,0,0,0,1,0,1
wings of vi,14.99,318530,1,0,0,5,0,5
wings of vi,14.99,318530,0,1,0,5,0,5
wings of vi,14.99,318530,0,0,0,5,0,5
galcon 2: galactic conquest,0.0,294160,0,0,1,4,0,4
galcon 2: galactic conquest,0.0,294160,0,0,0,4,0,4
lambda wars beta,0.0,270370,0,0,1,7,3,5
lambda wars beta,0.0,270370,0,0,0,7,3,5
rexaura,0.0,317790,1,0,0,1,0,1
rexaura,0.0,317790,0,0,1,1,0,1
rexaura,0.0,317790,0,0,0,1,0,1
final fantasy® xiii-2,19.99,292140,0,0,0,3,2,3
bit dungeon ii,3.99,331440,1,0,0,0,1,2
bit dungeon ii,3.99,331440,0,1,0,0,1,2
bit dungeon ii,3.99,331440,0,0,0,0,1,2
lisa,9.99,335670,0,1,0,3,0,3
lisa,9.99,335670,0,0,0,3,0,3
town of salem,4.99,334230,0,0,0,23,8,17
dead effect,4.99,286040,1,0,0,3,2,2
dead effect,4.99,286040,0,0,0,3,2,2
metal gear solid v: ground zeroes,19.99,311340,1,0,0,18,1,17
metal gear solid v: ground zeroes,19.99,311340,0,1,0,18,1,17
speedrunners,14.99,207140,1,0,0,74,8,69
speedrunners,14.99,207140,0,0,0,74,8,69
verde station,4.99,324120,0,1,0,1,0,1
verde station,4.99,324120,0,0,0,1,0,1
blockade 3d,0.0,302830,1,0,0,29,8,41
blockade 3d,0.0,302830,0,0,1,29,8,41
blockade 3d,0.0,302830,0,0,0,29,8,41
choice of robots,9.99,339350,0,0,0,3,0,3
geometry dash,3.99,322170,1,0,0,52,6,46
geometry dash,3.99,322170,0,0,0,52,6,46
catmouth island,0.99,336380,0,1,0,0,1,0
catmouth island,0.99,336380,0,0,0,0,1,0
"dimmdrive :: gaming ramdrive @ 10,000+ mb/s",19.99,337070,0,0,0,1,0,1
castle,4.99,339290,1,0,0,1,1,1
castle,4.99,339290,0,0,0,1,1,1
teddy floppy ear - mountain adventure,4.99,340300,0,1,0,1,0,2
teddy floppy ear - mountain adventure,4.99,340300,0,0,0,1,0,2
tengami,4.99,299680,0,1,0,1,0,1
tengami,4.99,299680,0,0,0,1,0,1
huniepop,9.99,339800,0,0,0,39,6,33
agfpprov3 premium,79.99,266590,0,0,0,1,0,1
resident evil / biohazard hd remaster,19.99,304240,1,0,0,5,2,3
resident evil / biohazard hd remaster,19.99,304240,0,1,0,5,2,3
particle mace,0.98,295690,1,0,0,2,0,2
particle mace,0.98,295690,0,1,0,2,0,2
particle mace,0.98,295690,0,0,0,2,0,2
stranded deep,14.99,313120,0,1,0,60,14,52
stranded deep,14.99,313120,0,0,0,60,14,52
grey goo,29.99,290790,0,0,0,3,0,3
without within,0.0,345650,0,0,1,10,3,10
without within,0.0,345650,0,0,0,10,3,10
middle-earth: shadow of mordor - the dark ranger character skin,0.99,313371,1,0,0,1,0,1
middle-earth: shadow of mordor - the dark ranger character skin,0.99,313371,0,1,0,1,0,1
apotheon,14.99,208750,1,0,0,2,0,2
apotheon,14.99,208750,0,1,0,2,0,2
apotheon,14.99,208750,0,0,0,2,0,2
destination sol,0.0,342980,1,0,0,1,2,0
destination sol,0.0,342980,0,0,1,1,2,0
destination sol,0.0,342980,0,0,0,1,2,0
fractured soul,9.99,307030,1,0,0,1,0,1
fractured soul,9.99,307030,0,1,0,1,0,1
fractured soul,9.99,307030,0,0,0,1,0,1
sunless sea,18.99,304650,0,1,0,4,1,4
sunless sea,18.99,304650,0,0,0,4,1,4
crystal story ii,2.99,344860,0,1,0,2,0,2
crystal story ii,2.99,344860,0,0,0,2,0,2
universal combat ce,9.99,345580,1,0,0,0,1,0
universal combat ce,9.99,345580,0,0,0,0,1,0
samudai,2.99,342740,1,0,0,1,0,1
samudai,2.99,342740,0,0,0,1,0,1
hit,0.0,336670,0,0,1,1,0,1
hand of fate,19.99,266510,1,0,0,7,0,7
hand of fate,19.99,266510,0,0,0,7,0,7
boring man: premium!,4.99,346170,1,0,0,1,0,1
boring man - online tactical stickman combat,0.0,346120,1,0,0,12,1,11
boring man - online tactical stickman combat,0.0,346120,0,0,1,12,1,11
hero of the kingdom ii,7.99,346560,0,1,0,1,0,1
hero of the kingdom ii,7.99,346560,0,0,0,1,0,1
catacomb kids,15.99,315840,1,0,0,1,0,1
catacomb kids,15.99,315840,0,0,0,1,0,1
odysseus: long way home,3.99,348960,0,1,0,1,0,1
odysseus: long way home,3.99,348960,0,0,0,1,0,1
resident evil revelations 2 / biohazard revelations 2,5.99,287290,1,0,0,7,3,6
resident evil revelations 2 / biohazard revelations 2,5.99,287290,0,1,0,7,3,6
airships: conquer the skies,14.99,342560,1,0,0,1,0,1
airships: conquer the skies,14.99,342560,0,0,0,1,0,1
over 9000 zombies!,1.99,273500,1,0,0,1,0,1
over 9000 zombies!,1.99,273500,0,0,0,1,0,1
oddworld: new 'n' tasty,19.99,314660,1,0,0,4,1,3
oddworld: new 'n' tasty,19.99,314660,0,1,0,4,1,3
oddworld: new 'n' tasty,19.99,314660,0,0,0,4,1,3
homeworld remastered collection,34.99,244160,0,0,0,7,1,6
expansion - europa universalis iv: el dorado,14.99,338160,0,0,0,1,0,1
dragon ball xenoverse,39.99,323470,1,0,0,28,3,25
dynasty warriors® 8 empires,49.99,322520,1,0,0,1,1,0
call of duty®: advanced warfare - havoc,14.99,318791,1,0,0,0,1,0
his (heroes in the sky),139.92,342570,1,0,0,0,1,1
his (heroes in the sky),139.92,342570,0,0,0,0,1,1
his (heroes in the sky),139.92,342570,0,0,1,0,1,1
the i of the dragon,6.99,279720,0,0,0,1,0,1
this war of mine - war child charity dlc,0.99,348040,0,1,0,2,1,1
this war of mine - war child charity dlc,0.99,348040,0,0,0,2,1,1
shelter 2,14.99,275100,0,1,0,2,1,1
shelter 2,14.99,275100,0,0,0,2,1,1
automation - the car company tycoon game,29.99,293760,0,0,0,3,0,4
modular combat,0.0,349480,1,0,0,3,0,5
modular combat,0.0,349480,0,0,1,3,0,5
modular combat,0.0,349480,0,0,0,3,0,5
12 labours of hercules,2.99,342580,0,0,0,1,0,1
axis game factory's agfpro - voxel sculpt dlc,29.99,352111,0,0,0,1,0,1
hospital manager,4.99,348290,0,0,0,0,0,1
etherium,9.99,245370,0,0,0,2,0,2
ironcast,14.99,327670,0,0,0,1,0,1
archeage,0.0,304030,0,0,1,9,2,11
archeage,0.0,304030,0,0,0,9,2,11
unium,1.99,357600,0,0,0,1,1,0
half-life 2: update,0.0,290930,1,0,0,3,0,3
half-life 2: update,0.0,290930,0,1,0,3,0,3
half-life 2: update,0.0,290930,0,0,1,3,0,3
princess evangile all ages version,34.99,344630,0,1,0,1,0,1
dead or alive 5 last round: core fighters,0.0,311730,1,0,0,2,3,3
adventure capitalist,0.0,346900,0,0,0,102,13,93
adventure capitalist,0.0,346900,0,0,1,102,13,93
bloodsports.tv,9.99,336420,1,0,0,1,0,1
bloodsports.tv,9.99,336420,0,0,0,1,0,1
make it indie!,0.99,357900,0,1,0,0,1,1
make it indie!,0.99,357900,0,0,0,0,1,1
grass simulator,4.99,331200,0,1,0,2,1,2
grass simulator,4.99,331200,0,0,0,2,1,2
freestyle 2: street basketball,0.0,339610,1,0,0,7,2,9
freestyle 2: street basketball,0.0,339610,0,0,0,7,2,9
freestyle 2: street basketball,0.0,339610,0,0,1,7,2,9
dark souls™ ii: scholar of the first sin,39.99,335300,1,0,0,15,6,11
dark souls™ ii: scholar of the first sin,39.99,335300,0,0,0,15,6,11
war for the overworld,29.99,230190,0,0,0,5,1,6
survarium,0.0,355840,1,0,0,10,8,10
survarium,0.0,355840,0,0,1,10,8,10
survarium,0.0,355840,0,0,0,10,8,10
blue estate the game,12.99,305380,1,0,0,1,0,1
arma 3 marksmen,11.99,332350,1,0,0,3,0,3
arma 3 marksmen,11.99,332350,0,0,0,3,0,3
total war battles: kingdom,0.0,300080,0,0,1,3,3,4
total war battles: kingdom,0.0,300080,0,0,0,3,3,4
dead synchronicity: tomorrow comes today,19.99,339190,0,1,0,1,0,1
dead synchronicity: tomorrow comes today,19.99,339190,0,0,0,1,0,1
albedo: eyes from outer space,14.99,277520,1,0,0,1,0,1
albedo: eyes from outer space,14.99,277520,0,1,0,1,0,1
albedo: eyes from outer space,14.99,277520,0,0,0,1,0,1
halo: spartan strike,2.99,324570,1,0,0,1,0,2
westerado: double barreled,14.99,275200,1,0,0,5,1,4
westerado: double barreled,14.99,275200,0,1,0,5,1,4
westerado: double barreled,14.99,275200,0,0,0,5,1,4
convoy,14.99,318230,1,0,0,2,0,2
convoy,14.99,318230,0,1,0,2,0,2
convoy,14.99,318230,0,0,0,2,0,2
deepworld,0.0,340810,1,0,0,1,1,1
deepworld,0.0,340810,0,1,0,1,1,1
deepworld,0.0,340810,0,0,0,1,1,1
deepworld,0.0,340810,0,0,1,1,1,1
crypt of the necrodancer,14.99,247080,1,0,0,14,4,10
crypt of the necrodancer,14.99,247080,0,0,0,14,4,10
ultimate tic-tac-toe,0.0,360870,0,0,0,3,1,2
ultimate tic-tac-toe,0.0,360870,0,0,1,3,1,2
boston lockdown campaign book pdf,19.99,324300,0,0,0,1,0,1
tera,0.0,323370,1,0,0,30,3,29
tera,0.0,323370,0,1,0,30,3,29
tera,0.0,323370,0,0,1,30,3,29
tera,0.0,323370,0,0,0,30,3,29
the music machine,4.99,359040,0,1,0,1,0,1
the music machine,4.99,359040,0,0,0,1,0,1
vertiginous golf,9.99,272890,0,0,0,2,0,3
action henk,14.99,285820,1,0,0,1,0,1
action henk,14.99,285820,0,0,0,1,0,1
windward,9.99,326410,1,0,0,3,0,3
windward,9.99,326410,0,1,0,3,0,3
windward,9.99,326410,0,0,0,3,0,3
clicker heroes,0.0,363970,0,1,0,69,16,56
clicker heroes,0.0,363970,0,0,0,69,16,56
clicker heroes,0.0,363970,0,0,1,69,16,56
galactic civilizations iii,29.99,226860,0,0,0,4,1,3
trainz: a new era,39.99,315660,0,0,0,1,0,1
blockstorm,4.99,263060,1,0,0,9,1,10
blockstorm,4.99,263060,0,0,0,9,1,10
strife®,0.0,339280,1,0,0,8,1,8
strife®,0.0,339280,0,0,1,8,1,8
strife®,0.0,339280,0,0,0,8,1,8
60 seconds!,9.99,368360,0,1,0,3,2,1
60 seconds!,9.99,368360,0,0,0,3,2,1
teddy floppy ear - the race,4.99,371420,0,0,0,1,1,0
akiba's trip: undead ＆ undressed,29.99,333980,1,0,0,5,1,4
akiba's trip: undead ＆ undressed,29.99,333980,0,1,0,5,1,4
akiba's trip: undead ＆ undressed,29.99,333980,0,0,0,5,1,4
0rbitalis,9.99,278440,0,0,0,1,0,1
kung fury: street rage,2.99,373180,1,0,0,7,1,6
beamng.drive,24.99,284160,0,0,0,12,3,9
fsx: steam edition - diamond da40 add-on,24.99,364323,0,0,0,1,0,1
massive chalice,19.99,246110,0,0,0,1,0,1
hatred,8.99,341940,1,0,0,2,1,1
hatred,8.99,341940,0,0,0,2,1,1
sirius online,9.99,368720,1,0,0,1,0,1
sirius online,9.99,368720,0,1,0,1,0,1
sirius online,9.99,368720,0,0,0,1,0,1
the four kings casino and slots,0.0,260430,0,0,0,1,0,1
the four kings casino and slots,0.0,260430,0,0,1,1,0,1
digger online,9.99,278970,1,0,0,1,0,5
digger online,9.99,278970,0,1,0,1,0,5
soccer rage,9.99,356510,1,0,0,2,0,2
soccer rage,9.99,356510,0,0,0,2,0,2
stonehearth,24.99,253250,0,0,0,5,0,6
spooky cats,2.99,372210,1,0,0,1,0,1
spooky cats,2.99,372210,0,0,0,1,0,1
you must build a boat,4.99,290890,1,0,0,2,0,2
you must build a boat,4.99,290890,0,0,0,2,0,2
duck game,12.99,312530,1,0,0,10,1,9
duck game,12.99,312530,0,0,0,10,1,9
the masterplan,19.99,313080,1,0,0,1,1,0
the masterplan,19.99,313080,0,0,0,1,1,0
fury of the gods,3.99,373460,1,0,0,0,0,1
fury of the gods,3.99,373460,0,0,0,0,0,1
d4: dark dreams don’t die -season one-,14.99,358090,0,1,0,1,0,1
d4: dark dreams don’t die -season one-,14.99,358090,0,0,0,1,0,1
tiki man,0.99,376920,1,0,0,1,0,1
tiki man,0.99,376920,0,0,0,1,0,1
aero's quest,4.99,367780,1,0,0,2,0,2
aero's quest,4.99,367780,0,0,0,2,0,2
expansion - europa universalis iv: common sense,14.99,338163,0,0,0,0,0,1
hero siege - amazon (class),4.99,376660,1,0,0,1,0,1
hero siege - amazon (class),4.99,376660,0,1,0,1,0,1
hero siege - amazon (class),4.99,376660,0,0,0,1,0,1
lego® jurassic world,19.99,352400,1,0,0,1,0,1
lego® jurassic world,19.99,352400,0,1,0,1,0,1
echo of soul,0.0,290140,0,0,1,4,0,5
echo of soul,0.0,290140,0,0,0,4,0,5
nomad,0.0,378370,1,0,0,1,0,1
nomad,0.0,378370,0,1,0,1,0,1
nomad,0.0,378370,0,0,0,1,0,1
nomad,0.0,378370,0,0,1,1,0,1
anno online,0.0,336510,0,0,1,0,1,0
anno online,0.0,336510,0,0,0,0,1,0
cpucores :: maximize your fps,14.99,384300,0,0,0,1,0,1
hook,0.99,367580,0,0,0,5,1,4
oo,0.99,367570,1,0,0,3,1,2
oo,0.99,367570,0,0,0,3,1,2
rocket league®,19.99,252950,1,0,0,136,20,119
rocket league®,19.99,252950,0,0,0,136,20,119
facerig,14.99,274920,0,0,0,8,1,9
f1 2015,39.99,286570,0,0,0,2,1,4
epic cards battle(tcg),0.0,381560,0,0,0,0,1,0
epic cards battle(tcg),0.0,381560,0,0,1,0,1,0
secrets of grindea,14.99,269770,1,0,0,1,0,1
secrets of grindea,14.99,269770,0,1,0,1,0,1
secrets of grindea,14.99,269770,0,0,0,1,0,1
card hunter,0.0,293260,0,0,1,5,0,5
card hunter,0.0,293260,0,0,0,5,0,5
soccer manager 2015,0.0,356370,0,0,1,1,1,0
soccer manager 2015,0.0,356370,0,0,0,1,1,0
no time to explain remastered,14.99,368730,1,0,0,1,1,0
no time to explain remastered,14.99,368730,0,1,0,1,1,0
no time to explain remastered,14.99,368730,0,0,0,1,1,0
tap tap infinity,0.0,380360,1,0,0,1,1,0
tap tap infinity,0.0,380360,0,0,0,1,1,0
tap tap infinity,0.0,380360,0,0,1,1,1,0
cosmic rocket defender,4.99,385630,1,0,0,1,1,0
cosmic rocket defender,4.99,385630,0,0,0,1,1,0
tis-100,6.99,370360,0,0,0,1,0,1
heroes of soulcraft - arcade moba,0.0,319570,1,0,0,0,0,1
heroes of soulcraft - arcade moba,0.0,319570,0,0,0,0,0,1
heroes of soulcraft - arcade moba,0.0,319570,0,0,1,0,0,1
big fish legend,6.99,376560,0,1,0,1,0,1
big fish legend,6.99,376560,0,0,0,1,0,1
breach &amp; clear: deadline rebirth (2016),9.99,310890,1,0,0,1,0,1
breach &amp; clear: deadline rebirth (2016),9.99,310890,0,0,0,1,0,1
battle of empires : 1914-1918,8.99,316430,1,0,0,2,0,3
battle of empires : 1914-1918,8.99,316430,0,0,0,2,0,3
world end economica episode.02,12.99,368160,0,0,0,1,1,0
five nights at freddy's 4,7.99,388090,1,0,0,21,10,12
five nights at freddy's 4,7.99,388090,0,0,0,21,10,12
cradle,12.99,361550,0,1,0,1,0,1
cradle,12.99,361550,0,0,0,1,0,1
victor vran arpg,19.99,345180,1,0,0,1,0,1
victor vran arpg,19.99,345180,0,1,0,1,0,1
victor vran arpg,19.99,345180,0,0,0,1,0,1
gunjitsu,3.99,280010,1,0,0,2,1,1
gunjitsu,3.99,280010,0,0,0,2,1,1
saga,0.0,376140,0,0,1,1,1,0
saga,0.0,376140,0,0,0,1,1,0
fairy fencer f,29.99,347830,0,0,0,1,0,1
empyrion - galactic survival,19.99,383120,0,1,0,3,1,3
empyrion - galactic survival,19.99,383120,0,0,0,3,1,3
ink,4.99,385710,1,0,0,1,0,1
ink,4.99,385710,0,1,0,1,0,1
ink,4.99,385710,0,0,0,1,0,1
the static speaks my name,0.0,387860,0,1,0,12,3,12
the static speaks my name,0.0,387860,0,0,1,12,3,12
the static speaks my name,0.0,387860,0,0,0,12,3,12
celestian tales: old north,12.99,315860,0,0,0,1,0,1
wanderlust adventures,9.99,240620,1,0,0,1,0,1
wanderlust adventures,9.99,240620,0,1,0,1,0,1
wanderlust adventures,9.99,240620,0,0,0,1,0,1
olliolli2: welcome to olliwood,14.99,365660,1,0,0,1,0,1
olliolli2: welcome to olliwood,14.99,365660,0,0,0,1,0,1
hacknet,9.99,365450,0,0,0,6,1,5
silver creek falls: chapter 1,0.0,392450,0,1,0,3,1,2
silver creek falls: chapter 1,0.0,392450,0,0,1,3,1,2
silver creek falls: chapter 1,0.0,392450,0,0,0,3,1,2
rocket league® - supersonic fury dlc pack,3.99,391680,1,0,0,1,0,1
rocket league® - supersonic fury dlc pack,3.99,391680,0,0,0,1,0,1
labyronia rpg,2.99,391260,1,0,0,1,0,1
labyronia rpg,2.99,391260,0,1,0,1,0,1
labyronia rpg,2.99,391260,0,0,0,1,0,1
industry giant 2,9.99,271360,0,0,0,1,0,1
relic hunters zero,0.0,382490,1,0,0,6,0,7
relic hunters zero,0.0,382490,0,0,1,6,0,7
relic hunters zero,0.0,382490,0,0,0,6,0,7
final fantasy type-0™ hd,29.99,340170,1,0,0,5,1,5
final fantasy type-0™ hd,29.99,340170,0,0,0,5,1,5
zombi,19.99,339230,1,0,0,1,2,1
zombi,19.99,339230,0,1,0,1,2,1
planetary annihilation: titans,39.99,386070,0,0,0,3,1,3
the settlers online,0.0,354640,0,0,1,1,1,2
the settlers online,0.0,354640,0,0,0,1,1,2
viridi,0.0,375950,0,0,0,11,1,12
viridi,0.0,375950,0,0,1,11,1,12
trine 3: the artifacts of power,21.99,319910,1,0,0,1,1,2
trine 3: the artifacts of power,21.99,319910,0,1,0,1,1,2
trine 3: the artifacts of power,21.99,319910,0,0,0,1,1,2
afterlife empire,4.99,367710,0,0,0,0,0,1
teeworlds,0.0,380840,1,0,0,2,0,2
teeworlds,0.0,380840,0,0,1,2,0,2
teeworlds,0.0,380840,0,0,0,2,0,2
world of soccer online,0.0,393410,1,0,0,4,0,5
world of soccer online,0.0,393410,0,0,1,4,0,5
world of soccer online,0.0,393410,0,0,0,4,0,5
lamia must die,0.0,385260,0,0,1,1,0,1
lamia must die,0.0,385260,0,0,0,1,0,1
untamed: life of a cougar,14.99,378580,1,0,0,1,0,1
untamed: life of a cougar,14.99,378580,0,1,0,1,0,1
untamed: life of a cougar,14.99,378580,0,0,0,1,0,1
big pharma,24.99,344850,0,0,0,0,0,1
the black watchmen,9.99,349220,0,1,0,1,0,1
the black watchmen,9.99,349220,0,0,0,1,0,1
dead in bermuda,14.99,384310,0,1,0,1,0,1
dead in bermuda,14.99,384310,0,0,0,1,0,1
one piece pirate warriors 3,39.99,331600,1,0,0,2,2,1
mortal online,0.0,287920,1,0,0,2,0,2
mortal online,0.0,287920,0,0,1,2,0,2
mortal online,0.0,287920,0,0,0,2,0,2
mad max,19.99,234140,1,0,0,27,6,25
mad max,19.99,234140,0,1,0,27,6,25
one way to die: steam edition,0.0,388490,0,1,0,0,0,1
one way to die: steam edition,0.0,388490,0,0,1,0,0,1
metal gear solid v: the phantom pain,19.99,287700,1,0,0,51,11,45
metal gear solid v: the phantom pain,19.99,287700,0,1,0,51,11,45
comedy quest,0.0,399520,0,1,0,2,1,1
comedy quest,0.0,399520,0,0,0,2,1,1
comedy quest,0.0,399520,0,0,1,2,1,1
renowned explorers: international society,19.99,296970,0,1,0,1,0,1
renowned explorers: international society,19.99,296970,0,0,0,1,0,1
smite® - ultimate god pack,29.99,387440,1,0,0,1,0,1
smite® - ultimate god pack,29.99,387440,0,0,1,1,0,1
smite®,0.0,386360,1,0,0,27,0,28
smite®,0.0,386360,0,0,1,27,0,28
master spy,9.99,331190,1,0,0,2,0,2
master spy,9.99,331190,0,0,0,2,0,2
easyanticheat esports,0.0,282660,0,0,0,2,0,2
dropsy,9.99,274350,0,1,0,1,0,1
dropsy,9.99,274350,0,0,0,1,0,1
winter sports trilogy super pack,6.99,374090,1,0,0,1,0,1
winter sports trilogy super pack,6.99,374090,0,0,0,1,0,1
undertale,9.99,391540,0,0,0,115,23,96
dinosaur hunt,0.99,401190,1,0,0,4,1,4
dinosaur hunt,0.99,401190,0,1,0,4,1,4
dinosaur hunt,0.99,401190,0,0,0,4,1,4
train simulator,24.99,24010,0,0,0,17,2,23
edge of space,14.99,238240,1,0,0,5,0,10
edge of space,14.99,238240,0,1,0,5,0,10
edge of space,14.99,238240,0,0,0,5,0,10
clergy splode,0.99,403900,1,0,0,0,1,0
clergy splode,0.99,403900,0,0,0,0,1,0
ty the tasmanian tiger 4,5.99,287840,1,0,0,1,0,1
ty the tasmanian tiger 4,5.99,287840,0,1,0,1,0,1
ty the tasmanian tiger 4,5.99,287840,0,0,0,1,0,1
forsaken fortress strategy,9.99,344820,0,0,0,0,0,1
gaben: the final decision,0.99,403740,0,0,0,1,0,1
bloodlust shadowhunter,12.99,280600,1,0,0,1,0,1
bloodlust shadowhunter,12.99,280600,0,0,0,1,0,1
templar battleforce,9.99,370020,1,0,0,1,0,1
templar battleforce,9.99,370020,0,0,0,1,0,1
soma,29.99,282140,1,0,0,7,2,5
soma,29.99,282140,0,1,0,7,2,5
soma,29.99,282140,0,0,0,7,2,5
астролорды: облако оорта,0.0,385530,0,0,1,1,0,1
астролорды: облако оорта,0.0,385530,0,0,0,1,0,1
might &amp; magic® heroes® vii,49.99,321960,0,0,0,1,2,1
game corp dx,2.99,399670,0,0,0,0,0,1
ant war: domination,2.99,406080,0,0,0,0,1,0
prison architect,29.99,233450,0,0,0,92,24,71
downwell,2.99,360740,1,0,0,3,0,3
downwell,2.99,360740,0,1,0,3,0,3
downwell,2.99,360740,0,0,0,3,0,3
broforce,14.99,274190,1,0,0,64,7,58
